,SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR,GDP_per_capita
1709,75,638,2.0,REU,RE,638,4,Country/Area,910,Réunion,2,Medium,2018,855.953,856.942,409.781,447.162,342.7768,91.6404,35.4371,7.604,8.873,1.978,0.231,,12.076,0.658,14.092,2.1646,1.0559,29.797,103.0,4.472,2.434,2.038,5.219,82.198,78.9398,85.2349,67.8252,64.5964,70.8247,21.42,19.4267,23.095,10.5577,9.4652,11.2308,0.066,5.5144,12.019,0.082,6.857,22.3561,31.7162,14.1682,78.5011,109.6426,49.3191,32.9733,49.0959,18.7343,71.3287,102.0639,42.6314,-5.627,-6.567,19448.142306322898
1710,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2015,19921.039,19871.019,9604.634,10266.385,86.3672,93.5542,40.2684,-64.291,-3.236,-100.039,-0.503,,204.558,19.06,10.294,1.621,0.7751,27.625,106.1,268.849,136.518,132.332,13.53,74.7371,71.2401,78.2648,60.5644,57.1112,64.0354,16.1206,14.3233,17.5817,6.8883,6.467,7.1416,1.558,7.6457,203.203,1.876,9.2387,31.8038,41.2012,21.8699,146.6744,201.3773,90.775,53.1864,73.7769,31.5225,136.9216,191.2558,81.5705,-35.751,-1.799,8977.02
1711,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2016,19821.0,19777.051,9564.12,10212.931,85.9588,93.6472,40.6186,-54.82,-2.772,-87.899,-0.444,,208.708,19.36,10.553,1.6916,0.812,27.739,105.6,263.528,134.94,128.589,13.325,75.0209,71.4753,78.605,60.7805,57.2847,64.3013,16.3642,14.5289,17.8511,7.1491,6.6788,7.4287,1.43,6.8932,207.464,1.712,8.3093,29.811,38.4201,20.69,145.8798,201.7077,88.649,52.1815,72.2937,30.9897,136.9302,192.3309,80.3114,-33.073,-1.672,9404.54
1712,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2017,19733.101,19689.402,9525.742,10163.659,85.5778,93.7236,40.9588,-54.322,-2.759,-87.399,-0.444,,213.626,19.364,10.85,1.7698,0.8498,27.858,105.5,267.948,136.616,131.331,13.609,75.0236,71.4808,78.6131,60.7498,57.2473,64.2874,16.3189,14.4732,17.8166,7.1074,6.6405,7.3819,1.402,6.6073,212.407,1.687,8.0326,29.7635,38.3936,20.6024,144.5378,199.1189,88.3123,52.5626,73.1005,30.8637,135.9782,190.2119,80.2562,-33.081,-1.68,10727.98
1713,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2018,19645.702,19597.872,9485.968,10111.904,85.18,93.8099,41.2918,-62.641,-3.196,-95.66,-0.488,,206.794,18.462,10.552,1.7534,0.8432,27.944,105.4,269.435,137.982,131.453,13.748,75.1033,71.4994,78.7779,60.7783,57.2061,64.4115,16.3541,14.4275,17.929,7.1675,6.6886,7.4477,1.233,5.9697,205.729,1.53,7.4379,28.1154,36.193,19.5166,143.9374,198.5614,87.2742,51.6437,71.7369,30.3402,135.9777,190.3496,79.695,-33.018,-1.685,12502.26
1714,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2019,19550.042,19501.542,9444.048,10057.494,84.7613,93.9006,41.6278,-69.085,-3.543,-97.0,-0.497,,196.64,17.481,10.083,1.7107,0.8231,28.036,105.3,265.725,135.452,130.273,13.626,75.3288,71.7142,79.0269,60.9664,57.3778,64.63,16.5479,14.6508,18.0945,7.3273,6.9122,7.5697,1.135,5.748,195.665,1.395,7.0225,27.7092,35.973,18.8892,141.873,196.7093,84.4406,51.2891,71.8947,29.3313,134.3676,189.0044,77.2437,-27.909,-1.431,12992.03
1715,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2020,19453.042,19392.469,9395.41,9997.06,84.2872,93.9817,41.9587,-107.953,-5.566,-121.146,-0.625,,193.18,17.024,9.962,1.7256,0.8301,28.12,105.4,301.133,157.798,143.336,15.528,74.0464,70.2832,77.9995,59.6437,55.8848,63.5879,15.4735,13.2795,17.3349,6.8843,6.1405,7.3274,1.078,5.5583,192.255,1.303,6.6575,28.6369,36.9192,19.7813,152.5237,208.8767,92.97,54.7499,76.0064,31.9969,145.4546,201.8298,85.941,-13.202,-0.681,13082.3
1716,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2021,19331.896,19248.161,9324.761,9923.4,83.66,93.9674,42.2166,-149.739,-7.779,-167.47,-0.87,,187.162,16.818,9.724,1.7179,0.8259,28.145,105.4,336.901,173.539,163.362,17.503,72.7405,69.1531,76.557,58.3204,54.7314,62.1357,14.5421,12.495,16.29,6.4413,5.7248,6.8669,1.021,5.441,186.285,1.245,6.5539,30.6648,39.814,20.8498,167.5311,225.8368,105.2228,61.7025,84.6696,36.979,160.6514,219.097,98.2431,-17.731,-0.921,14986.79
1717,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2023,19169.119,19118.479,9260.257,9858.222,83.0964,93.9344,42.6213,-73.496,-3.845,-101.281,-0.53,,183.623,17.955,9.604,1.7133,0.8248,28.141,105.5,257.119,130.026,127.092,13.449,75.9381,72.3966,79.5551,61.4789,57.9601,65.0658,16.8637,14.9681,18.3864,7.5494,7.1418,7.7848,0.891,4.8488,182.857,1.094,5.9047,24.6822,32.1997,16.6874,134.2429,186.1237,79.1631,47.0553,65.9282,26.8389,127.8703,179.5547,73.0725,-27.78,-1.453,18404.27
1718,191,642,,ROU,RO,642,4,Country/Area,923,Romania,2,Medium,2022,19164.426,19166.772,9283.331,9883.442,83.3063,93.9281,42.391,-84.379,-4.402,4.693,0.024,,183.845,17.334,9.592,1.7168,0.8254,28.143,105.5,268.224,135.453,132.771,13.994,75.2614,71.6648,78.9594,60.8773,57.2966,64.5526,16.4911,14.5713,18.0462,7.3515,6.9167,7.6012,0.958,5.2013,183.022,1.246,6.6666,27.6482,36.019,18.7044,142.3173,196.3322,84.8939,51.0233,71.4945,29.0685,135.0397,188.9604,77.7896,89.076,4.647,15557.88
