country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Denmark,53094.01,54500.93,57521.55,61324.77,59404.27,60985.49,69727.99,68091.32,68453.88,71851.76
Djibouti,2376.13,2510.43,2618.96,2718.08,2837.17,2844.89,3025.91,3133.26,3397.52,3496.47
Dominica,8282.6,8802.56,8224.65,9215.31,9491.15,7827.75,8376.4,9323.66,9912.96,10405.28
Dominican Republic,6800.95,7160.44,7412.72,7882.98,8183.02,7135.22,8527.08,10104.24,10630.43,10875.66
Early-demographic dividend,3219.69,3269.98,3505.11,3515.77,3543.32,3250.75,3765.51,4113,4322.18,4529.83
East Asia & Pacific,9657.53,9928.67,10526.68,11394.48,11578.27,11595.29,13282.76,13084.28,13117.91,13349.08
East Asia & Pacific (IDA & IBRD countries),6664.49,6758.74,7323.51,8136.37,8379.41,8485.42,10086.48,10220.36,10239.67,10513.98
East Asia & Pacific (excluding high income),6589.77,6683.18,7241.93,8045.94,8286.44,8391.37,9974.64,10106.87,10125.77,10396.83
Ecuador,5976.16,5917.64,6233.32,6303.92,6205.06,5463.65,6061.32,6515.59,6737.85,6874.71
"Egypt, Arab Rep.",3306.98,3270.63,2395.1,2484.7,2962.99,3511.11,3827.35,4233.31,3456.79,3338.47
El Salvador,3790.34,3901.34,4020.13,4183.55,4320.12,3997.19,4642.61,5074.6,5365.44,5579.66
Equatorial Guinea,9068.91,7453.2,7809.1,8102.47,6804.15,5764.06,6945.63,7589.3,6677.79,6745.4
Eritrea,,,,,,,,,,
Estonia,17722.16,18666.37,20851.52,23618.14,24021.25,23933.99,27953.77,28451.15,30133.3,31170.09
Eswatini,3420.75,3239.81,3853.99,3973.46,3913.13,3454.78,3966.3,3889.65,3741.69,3936.11
Ethiopia,621.85,696.2,745.63,747.97,828.71,905.31,910.95,1011.07,,
Euro area,34467.58,35232.27,37237.54,40096.71,39212.51,38234.53,42967.26,41446.43,45068.7,46724.36
Europe & Central Asia,22676.95,22496.78,23780.62,25362.68,24975.42,24121.48,27591.41,27782.86,29835.72,31392.58
Europe & Central Asia (IDA & IBRD countries),8004.57,7653.98,8560.71,8890.62,9034.43,8456.58,9987.99,11410.44,12106.92,13257.57
Europe & Central Asia (excluding high income),6282.95,5977.69,6112.7,5952.25,6020.64,5733.42,6623.35,7247.61,8571.41,9668.56
European Union,30769.09,31462.43,33391.97,36054.4,35374.64,34698.4,39214.37,37962.83,41392.07,43145.16
