country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United Kingdom,44983.89,40988.1,40629.23,43315.49,42794,40404.81,46926.48,46062.99,49200.81,52636.79
United States,56849.47,57976.63,60047.72,62875.67,65227.96,64401.51,71307.4,77860.91,82304.62,85809.9
Upper middle income,7434.6,7404.71,8053.63,8559.83,8647.4,8334.91,9905.06,10310.87,10631.32,10961.82
Uruguay,17125.9,17009.76,19184.65,19249.94,18315.73,15757.54,17881.82,20818.61,23019.42,23906.51
Uzbekistan,2803.19,2753.38,2190.6,1813.09,2041.38,1978.28,2258.52,2578.67,2878.97,3161.7
Vanuatu,2854.89,2956.13,3159.86,3206.66,3207.45,3042.99,3211.72,3292.34,3515.24,3542.81
"Venezuela, RB",,,,,,,,,,
Viet Nam,2577.57,2735.06,2956.11,3222.31,3440.9,3534.04,3704.19,4147.7,4323.35,4717.29
Virgin Islands (U.S.),34007.35,35324.97,35365.07,36663.21,38633.53,39787.37,42571.08,44320.91,,
West Bank and Gaza,3272.15,3527.61,3620.36,3562.33,3656.86,3233.57,3678.64,3799.96,3455.03,2592.31
World,10175.41,10221.37,10765.27,11326.93,11376.82,10963.18,12418.57,12819.74,13263.62,13673
"Yemen, Rep.",1362.17,975.36,811.17,633.89,623.38,559.56,522.17,615.7,426.35,433.17
Zambia,1295.88,1239.09,1483.47,1463.9,1258.99,951.64,1127.16,1447.12,1330.73,1235.08
Zimbabwe,1386.42,1407.42,3448.09,2271.85,1683.91,1730.45,1724.39,2040.55,2156.03,2656.41
